ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
DE000A0LD2U1	EUR	2	34	12	272	260583.33333333334	243500.0	260666.66666666666	243500.0
DE000A1EWWW0	EUR	27	16	675	752	760000.0	595744.6808510638	760000.0	595744.6808510638
DE000A1ML7J1	EUR		68		2924		130813.95348837209		72368.42105263157
DE000BASF111	EUR	77	67	12047	4245	32646.63401676766	114930.03533568904	1052200.0	99305.55555555556
DE000BAY0017	EUR	69	166	774	27693	380147.2868217054	39257.57411620265	1027800.0	3174.6031746031745
DE000CBK1001	EUR	2		30		40000.0		40000.0	
DE000ENAG999	EUR	72	68	1974	5746	36695.23809523809	14857.988165680474	123022.22222222222	7980.891719745223
DE000ENER6Y0	EUR	69	34	9083	10676	11855.664428052405	8280.254777070064	389000.0	8280.254777070064
DE000ETFL011	EUR	33	33	22838	23100	17177.51116560119	16995.238095238095	27091.32420091324	16811.428571428572
DE000EVNK013	EUR		34		4250		24000.0		24000.0
DE000KSAG888	EUR		34		2890		30823.529411764706		30823.529411764706
DE000PAH0038	EUR		68		1768		371153.8461538461		250000.0
DE000SHL1006	EUR		34		646		310526.3157894737		310526.3157894737
DE000SYM9999	EUR		34		578		838823.5294117647		838823.5294117647
DE000TUAG000	EUR	6	34	2935	15742	480.71550255536624	643.6285097192225	5897.5	643.6285097192225
DE000TUAG000	GBX	195	221	353519	385492	10812.629589923032	11343.750324260944	19500000.0	8120.300751879699
DE000WAF3001	EUR	34		272		1125000.0		1125000.0	
DK0010181759	DKK	31		6913		358744.3946188341		358744.3946188341	
DK0010244425	DKK	1		2		1043000000.0		1043000000.0	
DK0010274414	DKK	26		915		288087.4316939891		1464285.7142857143	
DK0015250344	DKK		7		492		15186.991869918698		15042.25352112676
DK0060227585	DKK		1		5		9688000.0		9688000.0
DK0060252690	DKK	2		10		11958000.0		11980000.0	
DK0060534915	DKK		1		5		13984000.0		13984000.0
DK0060542181	DKK	1		7		1480000.0		1480000.0	
DK0060636678	DKK	7		35		2892142.8571428573		2897000.0	
DK0060738599	DKK	11		55		5419272.7272727275		5462000.0	
DK0060946788	DKK	3		21		1636428.5714285714		1649285.7142857143	
DK0060952919	DKK		6		30		8100000.0		8100000.0
DK0061539921	DKK	6		30		3934333.3333333335		3954000.0	
ES0105027009	EUR	3		26		178923.07692307694		193500.0	
ES0105066007	EUR		1		5		829200.0		829200.0
ES0105546008	EUR		34		3536		1634.6153846153845		1634.6153846153845
ES0105630315	EUR	1		5		415600.0		415600.0	
ES0113211835	EUR	3	34	72	782	20484.027777777777	28217.391304347828	20543.75	28217.391304347828
ES0113679I37	EUR	6		132		20477.272727272728		21461.904761904763	
ES0113900J37	EUR	37	102	2180	9860	3503.532110091743	3879.310344827586	7741.666666666667	1884.4221105527638
ES0116870314	EUR	11	1	55	5	456654.54545454547	459200.0	458600.0	459200.0
ES0121975009	EUR		16		80		694000.0		694000.0
ES0130670112	EUR	35		210		291869.04761904763		298750.0	
ES0132945017	EUR		2		125		2536.0		2481.25
ES0137650018	EUR	4		20		493250.0		498000.0	
ES0140609019	EUR	1	1	37	36	7218.918918918919	7488.888888888889	7218.918918918919	7488.888888888889
ES0143416115	EUR	2	8	12	50	291375.0	276460.0	300166.6666666667	242214.2857142857
ES0144580Y14	EUR	6	34	86	714	63076.74418604651	50000.0	82000.0	50000.0
ES0157097017	EUR		3		27		122185.18518518518		120888.88888888889
ES0165386014	EUR		3		18		271777.77777777775		270416.6666666667
ES0167050915	EUR		34		170		506000.0		506000.0
ES0171996087	EUR		1		6		266083.3333333333		266083.3333333333
ES0171996095	EUR	1	10	9	90	114888.88888888889	115777.77777777778	114888.88888888889	114888.88888888889
ES0173093024	EUR	1	1	6	6	284666.6666666667	286916.6666666667	284666.6666666667	286916.6666666667
ES0173516115	EUR	1	68	9	1224	128066.66666666667	73694.44444444444	128066.66666666667	58090.90909090909
ES0177542018	EUR	2	34	139	2380	2162.589928057554	2871.4285714285716	2279.5454545454545	2871.4285714285716
ES0177542018	GBX	2058	2132	3968068	4181787	6435.221876238008	6445.616670576478	12394000.0	1285.8472035562907
