ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
ES0113679I37	EUR	6		132		20477.272727272728		21461.904761904763	
ES0113900J37	EUR	37		2180		3503.532110091743		7741.666666666667	
ES0116870314	EUR	11		55		456654.54545454547		458600.0	
ES0130670112	EUR	35		210		291869.04761904763		298750.0	
ES0137650018	EUR	4		20		493250.0		498000.0	
ES0140609019	EUR	1		37		7218.918918918919		7218.918918918919	
ES0143416115	EUR	2		12		291375.0		300166.6666666667	
ES0144580Y14	EUR	6		86		63076.74418604651		82000.0	
ES0171996095	EUR	1		9		114888.88888888889		114888.88888888889	
ES0173093024	EUR	1		6		284666.6666666667		284666.6666666667	
ES0173516115	EUR	1		9		128066.66666666667		128066.66666666667	
ES0177542018	EUR	2		139		2162.589928057554		2279.5454545454545	
ES0177542018	GBX	2058		3968068		6435.221876238008		12394000.0	
ES0178430E18	EUR	178		4625		14309.675675675675		16493.75	
ES0184262212	EUR	34		170		904000.0		904000.0	
FI0009000202	EUR	1		5		458800.0		458800.0	
FI0009003727	EUR	2		22		79700.0		79709.09090909091	
FI0009005987	EUR	8		43		501209.3023255814		541400.0	
FO0000000179	NOK	8		807		548277.571251549		554600.0	
FR0000045072	EUR	34		7922		3648.068669527897		3648.068669527897	
FR0000120404	EUR	1		47		57255.31914893617		57255.31914893617	
FR0000120693	EUR	1		5		3700000.0		3700000.0	
FR0000121014	EUR	34		170		11620000.0		11620000.0	
FR0000125007	EUR	34		510		260000.0		260000.0	
FR0000131104	EUR	25		1200		98958.33333333333		98958.33333333333	
FR0000133308	EUR	34		2618		12337.662337662337		12337.662337662337	
FR0007054358	EUR	66		72600		3262.658402203857		3340.4545454545455	
FR0010010827	EUR	34		387600		195.41924664602683		201.8421052631579	
FR0010261198	EUR	10		580		245808.62068965516		246482.75862068965	
FR0010340141	EUR	34		238		1471428.5714285714		1471428.5714285714	
FR0010342592	EUR	1		12		5789166.666666667		5789166.666666667	
FR0010361683	EUR	4		1568		5697.193877551021		5716.071428571428	
FR0010405431	EUR	3		26361		9.869124843518835		9.912370547399567	
FR0010446146	EUR	34		846600		44.58374675171273		45.31726907630522	
FR0010446658	EUR	34		1237600		18.138574660633484		19.39835164835165	
FR0010446666	EUR	34		7245400		0.6334419079691942		0.6514312529328954	
FR0010468983	EUR	67		93800		2012.8944562899787		2115.714285714286	
FR0010655712	EUR	23		759		725678.5243741765		742575.7575757576	
FR0010655761	EUR	29		1131		559274.9778956675		568461.5384615385	
FR0010869495	EUR	34		1632000		3.9427205882352943		4.02	
FR0013505062	EUR	34		9724		842.6573426573426		842.6573426573426	
GB0000066554	GBX	177		50070		429167.1659676453		8093333.333333333	
GB0000197722	GBX	117		62760		127015.61504142766		69000000.0	
GB0000385517	GBX	183		63371		254734.81560966372		4450000.0	
GB0000456144	GBX	1491		228130		990574.4531626704		76025000.0	
GB0000485838	GBX	196		45634		338990.66485515184		8010000.0	
GB0000536739	GBX	1678		104494		7467161.750913928		14144117.647058824	
GB0000667013	GBX	141		32087		523601.45853460906		2368627.4509803923	
GB0000811801	GBX	1562		645428		132349.32478913217		6151111.111111111	
GB0000904986	GBX	756		53085		3820713.949326552		9825000.0	
GB0000961622	GBX	154		149414		22766.005862904414		22040000.0	
GB0001048619	GBX	86		361664		2139.3475712263316		6206.666666666667	
GB0001367019	GBX	1881		924289		96205.06140395482		2626666.6666666665	
GB0001500809	GBX	242		694528		1861.194941024696		2669000.0	
GB0001638955	GBX	174		52150		262437.2003835091		78350000.0	
GB0001639920	GBX	241		16442		4602146.940761465		36055555.55555555	
GB0001740025	GBX	229		106743		103529.50544766402		1229487.1794871795	
GB0001765816	GBX	194		158158		33473.80467633632		171250.0	
GB0001826634	GBX	194		29035		1700616.4973308076		253600000.0	
GB0001859296	GBX	288		92368		288988.8272994977		9472000.0	
